star_id,x_center,y_center,brightness,sigma
0,1702.80,261.31,138.6,2.24
1,1191.98,401.16,156.4,2.41
2,860.64,1032.51,126.8,1.97
3,1377.84,577.40,198.4,2.11
4,738.46,245.37,198.8,2.25
5,152.23,852.98,242.7,2.56
6,835.93,1045.91,151.5,2.72
7,1453.33,716.59,169.7,2.64
8,1350.98,403.06,197.2,2.14
9,1683.93,576.83,249.5,1.49
10,419.14,126.27,229.8,2.59
11,1469.39,177.72,136.8,2.60
12,389.36,209.50,209.1,1.65
13,1891.25,403.42,254.7,2.92
14,612.62,108.06,172.2,2.01
15,1050.31,626.45,162.1,1.90
16,1367.86,880.88,195.6,1.69
17,521.28,234.05,173.2,2.33
18,395.61,265.86,233.0,2.96
19,1259.97,903.49,237.0,1.35
20,130.55,492.15,207.5,2.78
21,380.50,168.19,164.7,2.98
22,302.89,978.96,211.7,2.57
23,1685.27,562.56,142.6,1.24
24,781.40,686.69,242.5,2.23
25,532.35,75.42,204.7,1.91
26,1037.15,1015.49,120.8,2.03
27,1740.86,972.11,172.4,1.42
28,1563.92,549.72,208.2,1.75
29,123.85,599.37,147.8,2.77
30,469.67,68.78,167.5,1.57
31,1712.38,557.59,213.6,1.89
32,1365.26,595.20,148.4,1.88
33,920.54,281.89,204.2,1.93
34,1074.68,326.55,215.6,2.75
35,1034.62,84.78,155.0,1.63
36,265.89,1042.66,156.2,2.43
37,1555.12,32.78,192.5,2.94
38,1108.59,842.69,248.6,2.06
39,259.06,777.17,169.4,1.72
