
[Star Tracker] Baslatiliyor...
[Star Tracker] Okuma FB : 0x88000000
[Star Tracker] Display FB: 0x80000000
[Star Tracker] Goruntu: 1920x1080
[Star Tracker] Adim 1: Framebuffer okunuyor...
[Star Tracker] Adim 1: OK
[Star Tracker] Adim 2: Yildiz tespiti (threshold=50)...
[Star Tracker] Adim 2: OK - 33 yildiz bulundu.
[Star Tracker] Adim 3: Overlay ciziliyor...
[Star Tracker] Adim 3: OK - Monitorde gormelisiniz!

===== STAR TRACKER RESULTS =====
Image: 1920x1080, Threshold: 50
Stars detected: 33
--------------------------------
ID,X,Y,BRIGHTNESS,PIXELS,PEAK
0,1555.12,32.79,175,21,67
1,469.69,68.78,23,3,61
2,532.31,75.44,99,11,70
3,1034.80,84.90,10,3,57
4,612.56,107.87,32,6,59
5,419.16,126.33,320,22,79
6,380.60,168.03,53,10,60
7,389.40,209.52,82,8,70
8,521.32,234.00,49,7,62
9,738.37,245.32,107,11,68
10,395.64,265.87,428,29,82
11,920.56,281.98,106,10,73
12,1074.68,326.54,264,23,76
13,1192.00,401.53,13,4,56
14,1891.26,403.40,586,34,85
15,1351.00,402.97,100,9,70
16,130.61,492.19,217,19,73
17,1563.95,549.68,89,8,72
18,1712.36,557.56,121,11,73
19,1377.90,577.42,98,10,68
20,1683.90,576.81,140,8,85
21,1050.43,626.62,16,4,56
22,781.36,686.66,275,18,82
23,1453.20,716.66,50,8,60
24,259.13,777.17,23,4,62
25,1108.60,842.68,266,15,83
26,152.22,852.93,394,24,85
27,1367.82,880.94,68,8,70
28,1260.04,903.50,104,6,82
29,1740.86,972.06,15,3,62
30,302.88,978.89,214,21,73
31,266.26,1042.57,19,6,55
32,835.84,1046.07,13,5,53
===== END RESULTS =====
[Star Tracker] Bitti.
